id,listing_url,borough,neighborhood,room_type,property_type,nightly_price
1463041277691146419,https://www.airbnb.com/rooms/1463041277691146419,Manhattan,Upper West Side,Hotel room,Room in hotel,1089.0
1668492429440481959,https://www.airbnb.com/rooms/1668492429440481959,Manhattan,Upper East Side,Entire home/apt,Entire rental unit,739.86
17943407,https://www.airbnb.com/rooms/17943407,Manhattan,East Village,Entire home/apt,Entire rental unit,116.65
53011236,https://www.airbnb.com/rooms/53011236,Bronx,Pelham Gardens,Entire home/apt,Entire place,116.03
933199939452228087,https://www.airbnb.com/rooms/933199939452228087,Manhattan,West Village,Entire home/apt,Entire rental unit,510.5
1141259813165182278,https://www.airbnb.com/rooms/1141259813165182278,Brooklyn,Bedford-Stuyvesant,Private room,Private room in rental unit,152.92
1069775825692003208,https://www.airbnb.com/rooms/1069775825692003208,Manhattan,West Village,Entire home/apt,Entire rental unit,742.77
625327900692074881,https://www.airbnb.com/rooms/625327900692074881,Manhattan,SoHo,Private room,Private room in condo,1028.0
1384248659352056848,https://www.airbnb.com/rooms/1384248659352056848,Manhattan,Upper East Side,Entire home/apt,Entire rental unit,740.67
17097495,https://www.airbnb.com/rooms/17097495,Manhattan,Harlem,Hotel room,Room in boutique hotel,250.0
805261820765910707,https://www.airbnb.com/rooms/805261820765910707,Brooklyn,Windsor Terrace,Entire home/apt,Entire rental unit,118.0
38624439,https://www.airbnb.com/rooms/38624439,Manhattan,Upper East Side,Entire home/apt,Entire rental unit,307.83
1137621358187674705,https://www.airbnb.com/rooms/1137621358187674705,Brooklyn,Bedford-Stuyvesant,Private room,Private room in townhouse,325.5
1556932561681604481,https://www.airbnb.com/rooms/1556932561681604481,Brooklyn,Fort Hamilton,Entire home/apt,Entire rental unit,116.0
1531332430675263057,https://www.airbnb.com/rooms/1531332430675263057,Manhattan,Hell's Kitchen,Private room,Room in hotel,146.25
969127796395247392,https://www.airbnb.com/rooms/969127796395247392,Queens,Ditmars Steinway,Private room,Private room in rental unit,249.0
1461151405939659800,https://www.airbnb.com/rooms/1461151405939659800,Brooklyn,Bushwick,Entire home/apt,Entire rental unit,95.9
978187771536597634,https://www.airbnb.com/rooms/978187771536597634,Brooklyn,Canarsie,Entire home/apt,Entire guesthouse,80.6
721135809916651324,https://www.airbnb.com/rooms/721135809916651324,Queens,Astoria,Private room,Private room in home,68.08
32171100,https://www.airbnb.com/rooms/32171100,Manhattan,Washington Heights,Private room,Private room in condo,158.4
52427990,https://www.airbnb.com/rooms/52427990,Bronx,Longwood,Private room,Private room in rental unit,54.43
1035243405969732653,https://www.airbnb.com/rooms/1035243405969732653,Brooklyn,Bedford-Stuyvesant,Entire home/apt,Entire rental unit,239.82
987993224753303867,https://www.airbnb.com/rooms/987993224753303867,Queens,Woodhaven,Private room,Private room in home,55.97
7692660,https://www.airbnb.com/rooms/7692660,Bronx,Hunts Point,Private room,Private room in home,40.17
19162180,https://www.airbnb.com/rooms/19162180,Brooklyn,Flatbush,Entire home/apt,Entire guest suite,255.34
54036658,https://www.airbnb.com/rooms/54036658,Manhattan,Midtown,Entire home/apt,Entire rental unit,339.0
1496088164134073826,https://www.airbnb.com/rooms/1496088164134073826,Manhattan,East Harlem,Private room,Private room in rental unit,75.67
1329043156366012625,https://www.airbnb.com/rooms/1329043156366012625,Queens,South Ozone Park,Entire home/apt,Entire home,342.35
